facility_id,facility_type,name,address,district,lon,lat,rooms,star_rating,capacity_0.6,capacity_0.7,capacity_0.8
HOTEL_63,酒店,成都锦城原舍酒店(锦里武侯祠店),一环路南四段34号,成都市,104.042407,30.64047,134,4,160.79999999999998,187.6,214.4
HOTEL_64,酒店,成都太古里未来中心亚朵酒店,东风路26号,成都市,104.095489,30.650757,106,4,127.19999999999999,148.39999999999998,169.60000000000002
HOTEL_65,酒店,成都金融城双子塔MUSTEL木文缇酒店,交子大道500号3栋5楼,成都市,104.053471,30.582963,166,4,199.2,232.39999999999998,265.6
HOTEL_66,酒店,格伦酒店(成都新会展环球中心店),天府一街369号两江国际1栋2单元1楼大厅,成都市,104.059182,30.559835,68,2,81.6,95.19999999999999,108.80000000000001
HOTEL_67,酒店,成都Wi瑰郦酒店(天府广场春熙路店),东御街88号星汇广场四单元1楼,成都市,104.069814,30.656296,100,3,120.0,140.0,160.0
HOTEL_68,酒店,熊一猫困了酒店(成都熊猫基地店),斧头山一巷19号,成都市,104.136881,30.727467,42,3,50.4,58.8,67.2
HOTEL_69,酒店,城市西游里酒店(成都天府广场宽窄巷子店),人民中路二段88号1栋6楼,成都市,104.066279,30.670372,104,4,124.8,145.6,166.4
HOTEL_70,酒店,华盛国际酒店(成都宽窄巷子店),一环路西三段186号,成都市,104.043893,30.678603,84,3,100.8,117.6,134.4
HOTEL_71,酒店,雅悦蓝天酒店,白龙江路6号,成都市,104.144984,30.631369,402,5,482.4,562.8,643.2
HOTEL_72,酒店,礼悦酒店(成都双流国际机场店),七里路252号1栋15-16号,成都市,103.977631,30.608945,105,4,126.0,147.0,168.0
HOTEL_73,酒店,FPS·王者之梦赛事电竞酒店(成都太古里店),岳府街68号附1号2楼,成都市,104.078992,30.662993,50,3,60.0,70.0,80.0
HOTEL_74,酒店,上里阳光·瑞信酒店(武侯祠锦里店),武侯祠大街248号,成都市,104.046214,30.643589,78,3,93.6,109.19999999999999,124.80000000000001
HOTEL_75,酒店,梵隐·花间度假庭院,西马道街26号永逸商厦5楼,成都市,104.076964,30.675132,30,3,36.0,42.0,48.0
HOTEL_76,酒店,好逸SMART酒店(成都春熙路太古里店),红星路四段88号,成都市,104.076098,30.649534,173,3,207.6,242.2,276.8
HOTEL_77,酒店,艾干酒店(成都文殊院地铁站店),北东街38号通亚大厦1楼,成都市,104.077336,30.672115,33,2,39.6,46.199999999999996,52.800000000000004
HOTEL_78,酒店,咏物生活收藏酒店(成都太古里春熙路店),岳府街55号,成都市,104.081332,30.662291,72,4,86.39999999999999,100.8,115.2
HOTEL_80,酒店,成都锦里遇上酒店(东郊记忆店),杉板桥路万科天荟中心2栋11楼,成都市,104.127299,30.668228,38,3,45.6,53.199999999999996,60.800000000000004
HOTEL_81,酒店,成都C3酒店(天府艺术公园店),北三环路一段111号22栋,成都市,104.025574,30.711006,54,5,64.8,75.6,86.4
HOTEL_82,酒店,喆啡酒店(成都火车东站塔子山公园店),迎晖路196号,成都市,104.126986,30.635956,88,3,105.6,123.19999999999999,140.8
HOTEL_83,酒店,来住酒店(成都太古里春熙路店),武成大街198号,成都市,104.085034,30.660548,88,3,105.6,123.19999999999999,140.8
HOTEL_84,酒店,隐栖堂酒店(电子科大沙河校区东郊记忆店),府青路二段19号,成都市,104.098852,30.68086,47,3,56.4,65.8,75.2
HOTEL_85,酒店,如时(潮娃)酒店(成都春熙路天府广场地铁站店),东御街55号海发商厦6层,成都市,104.068004,30.656714,157,4,188.4,219.79999999999998,251.20000000000002
HOTEL_86,酒店,柏纳酒店(成都火车东站迎晖路地铁站店),建材路8号阳光100米娅中心二期7栋,成都市,104.140582,30.639851,50,3,60.0,70.0,80.0
HOTEL_87,酒店,南贰·街里酒店(成都双流国际机场店),西航港学府西路南二街9号,成都市,103.98178,30.57262,60,3,72.0,84.0,96.0
HOTEL_88,酒店,安逸·锦著酒店(双流国际机场成都信息工程大学店),航空港长江路二段十六号,成都市,103.991763,30.571299,120,3,144.0,168.0,192.0
HOTEL_89,酒店,叁川壹宿(金牛万达文殊院地铁站店),人民北路一段8号5幢1层13号,成都市,104.072003,30.681397,44,3,52.8,61.599999999999994,70.4
HOTEL_90,酒店,成都春熙路天府广场合正艺品酒店,东御街55号人保大厦9-10楼,成都市,104.067946,30.656771,107,4,128.4,149.79999999999998,171.20000000000002
HOTEL_91,酒店,月牙濠璟酒店(成都西站文化宫地铁站店),蜀源路2号附1号,成都市,104.002931,30.675048,160,4,192.0,224.0,256.0
HOTEL_92,酒店,SFEEL设计师酒店(成都春熙路IFS国金中心店),提督街120号4层,成都市,104.072126,30.660086,51,4,61.199999999999996,71.39999999999999,81.60000000000001
HOTEL_94,酒店,蓉逸精选酒店(成都抚琴夜市蜀汉路东地铁站店),蜀汉路150号1栋1楼,成都市,104.026494,30.684281,109,3,130.79999999999998,152.6,174.4
HOTEL_95,酒店,朵兰达LAB酒店(成都双流机场店),西航港街道双华路三段33号15栋,成都市,103.974045,30.54189,38,3,45.6,53.199999999999996,60.800000000000004
HOTEL_96,酒店,南城·S酒店(锦里店),永丰路7号 (和雅嘉御) 16楼,成都市,104.051734,30.632983,83,3,99.6,116.19999999999999,132.8
HOTEL_97,酒店,大魔方･云曦天际S设计师酒店(成都金融城环球中心店),天府大道北段1777号招商玺荟4栋27楼2703,成都市,104.071257,30.575398,68,3,81.6,95.19999999999999,108.80000000000001
HOTEL_98,酒店,隐栖堂酒店(成都太古里九眼桥店),天仙桥南路1号成都国际商务大厦C座3楼,成都市,104.082963,30.644018,50,4,60.0,70.0,80.0
HOTEL_99,酒店,成都春熙路太古里瑞贝庭公寓酒店,福兴街1号华敏翰尊A座18楼,成都市,104.079758,30.658516,180,4,216.0,251.99999999999997,288.0
HOTEL_100,酒店,经开铭臻国际大酒店,大面街道经开区南一路1666号3栋,成都市,104.183891,30.561991,301,5,361.2,421.4,481.6
HOTEL_101,酒店,建国璞隐酒店(成都太古里春熙路店),总府路20号,成都市,104.077108,30.658145,113,4,135.6,158.2,180.8
HOTEL_102,酒店,AI住未来酒店(成都迎宾大道金科北路地铁站店),兴盛西路2号6栋15楼1号,成都市,103.999374,30.712921,57,4,68.39999999999999,79.8,91.2
HOTEL_103,酒店,季菲酒店(成都金融城双子塔店),高新区府城大道西段399号天府新谷南门10号楼一楼大厅,成都市,104.056659,30.585958,127,4,152.4,177.79999999999998,203.20000000000002
HOTEL_104,酒店,城市精选酒店(成都春熙路太古里店),锦兴路57号,成都市,104.07009,30.651062,35,2,42.0,49.0,56.0
HOTEL_105,酒店,成都春熙路太古里浔隐温泉别苑,水碾河路48号,成都市,104.096489,30.649063,68,4,81.6,95.19999999999999,108.80000000000001
HOTEL_107,酒店,香兰尔酒店(成都东站四川师范大学店),静宁路12号,成都市,104.119898,30.604071,96,3,115.19999999999999,134.39999999999998,153.60000000000002
HOTEL_109,酒店,安逸·锦著酒店(成都天府广场武侯祠大街店),文庙后街1号,成都市,104.062559,30.650854,143,4,171.6,200.2,228.8
HOTEL_110,酒店,SFEEL设计师酒店(太古里COSMO成都店),向荣桥街16号向荣苑,成都市,104.072444,30.650217,38,3,45.6,53.199999999999996,60.800000000000004
HOTEL_111,酒店,云岸318酒店(成都火车东站西广场塔子山公园地铁站店),岷江路佳年华广场422号商铺,成都市,104.132039,30.627331,51,3,61.199999999999996,71.39999999999999,81.60000000000001
HOTEL_112,酒店,轩雅酒店(成都春熙太古里店),走马街68号附3号锦城大厦一楼,成都市,104.075556,30.652811,84,3,100.8,117.6,134.4
HOTEL_113,酒店,成都熊猫睡觉觉酒店(成都春熙路牛王庙地铁站店),建设北村52号,成都市,104.095571,30.646909,72,3,86.39999999999999,100.8,115.2
HOTEL_114,酒店,莉蒂亚酒店(成都火车东站凯德广场店),万科路19号魅力之城六期,成都市,104.154702,30.626155,80,3,96.0,112.0,128.0
HOTEL_115,酒店,隐栖堂精品酒店(成都春熙路天府广场店),鼓楼南街1号,成都市,104.072146,30.660585,51,4,61.199999999999996,71.39999999999999,81.60000000000001
HOTEL_116,酒店,秋果S酒店(宽窄巷子奎星楼美食街店),槐树街49号,成都市,104.0529,30.669896,66,4,79.2,92.39999999999999,105.60000000000001
HOTEL_117,酒店,SFEEL设计师酒店(成都太古里春熙路步行街店),城守街73号5楼,成都市,104.077309,30.654756,63,3,75.6,88.19999999999999,100.80000000000001
HOTEL_118,酒店,成都环球中心明宇丽呈酒店(金融城店),高新区锦尚西一路315号,成都市,104.061323,30.578246,114,4,136.79999999999998,159.6,182.4
HOTEL_120,酒店,成航馨居酒店(双流国际机场店),西航港大道中二段666号天鹅度假村24栋,成都市,103.965532,30.577589,34,2,40.8,47.599999999999994,54.400000000000006
HOTEL_122,酒店,熊猫很困酒店(成都万象城店),水碾河路6号附73,成都市,104.106231,30.644847,108,4,129.6,151.2,172.8
HOTEL_123,酒店,柴印未来酒店(成都龙湖滨江天街东郊记忆地铁站店),龙湖滨江天街1栋2单元22楼,成都市,104.123191,30.665127,35,2,42.0,49.0,56.0
HOTEL_124,酒店,SFEEL设计师酒店(成都一品天下茶店子地铁站店),一品天下大街252号附7号,成都市,104.026139,30.693191,40,3,48.0,56.0,64.0
HOTEL_125,酒店,丽呈假日S酒店(成都火车南站),火车南站西路25号7幢5层3号,成都市,104.059262,30.608291,138,4,165.6,193.2,220.8
HOTEL_126,酒店,成都环球中心城际酒店(世纪城新会展店),益州大道中段288号,成都市,104.056707,30.562459,168,4,201.6,235.2,268.8
HOTEL_127,酒店,青桐城市酒店(成都宽窄巷子店),花牌坊北顺街2号,成都市,104.048817,30.682581,298,4,357.59999999999997,417.2,476.8
HOTEL_128,酒店,西姆清居成都春熙路太古里酒店,庆云南街69号红星国际1号楼,成都市,104.08618,30.660948,98,4,117.6,137.2,156.8
HOTEL_129,酒店,成都蓝城悦榕美食文化酒店(武侯祠锦里店),永丰路16号,成都市,104.04993,30.631251,138,4,165.6,193.2,220.8
HOTEL_130,酒店,成都仁和新城格拉德服务公寓,高新区万象南路仁和春天国际公寓C座1楼,成都市,104.051019,30.58726,80,3,96.0,112.0,128.0
HOTEL_131,酒店,圣菲亚酒店(成都高新仁和春天广场店),高新区万象南路仁和新城仁和春天公寓C座1楼大厅,成都市,104.050996,30.587143,52,3,62.4,72.8,83.2
HOTEL_132,酒店,玺悦·豪庭高空酒店(春熙路天府广场店),锦兴路63号佳兆业天悦1栋一单元一楼,成都市,104.069637,30.651335,32,3,38.4,44.8,51.2
HOTEL_133,酒店,成都艺家城市酒店,地铁1号线7号线火车南站D出口,成都市,104.070248,30.605001,188,4,225.6,263.2,300.8
HOTEL_134,酒店,诚友苑酒店(华西医院衣冠庙地铁站店),洗面桥街16号,成都市,104.05454,30.637185,112,4,134.4,156.79999999999998,179.20000000000002
HOTEL_135,酒店,博客庄园·禅茶酒店(成都动物园地铁站店),昭觉寺南路260号华润熙悦广场2栋1单元12楼,成都市,104.103379,30.712729,40,3,48.0,56.0,64.0
HOTEL_136,酒店,宽云里酒店(成都春熙路天府广场店),嘉好大厦4楼,成都市,104.070482,30.659576,56,3,67.2,78.39999999999999,89.60000000000001
HOTEL_137,酒店,BOYE柏野酒店(成都熊猫基地店),斧头山路1巷32号,成都市,104.136971,30.727861,45,3,54.0,62.99999999999999,72.0
HOTEL_138,酒店,天府美悦酒店(成都双流国际机场店),学府西路北五街86号,成都市,103.981863,30.579458,69,3,82.8,96.6,110.4
HOTEL_140,酒店,云之汀酒店(电子科技大学百草路地铁站店),蜀西路78号1栋1单元11064号,成都市,103.982103,30.722471,46,3,55.199999999999996,64.39999999999999,73.60000000000001
HOTEL_141,酒店,南倾世界时酒店(成都春熙路地铁站太古里店),新街后巷子9号三益公商厦1栋1层43号,成都市,104.077603,30.656838,91,4,109.2,127.39999999999999,145.6
HOTEL_142,酒店,四季旅居酒店公寓(成都东站东广场店),保和街道金马河路99号弘创名座2栋301室,成都市,104.145587,30.632435,62,2,74.39999999999999,86.8,99.2
HOTEL_144,酒店,欢栖S酒店(熊猫基地龙潭寺地铁站店),龙潭路33号1号楼,成都市,104.165722,30.704937,92,3,110.39999999999999,128.79999999999998,147.20000000000002
HOTEL_145,酒店,盛铂·清居国风酒店(成都宽窄巷子中医大省医院地铁站店),浣花北路2号,成都市,104.037489,30.667012,125,3,150.0,175.0,200.0
HOTEL_146,酒店,叙里酒店(成都太古里春熙路步行街店),总府路18号1栋1单元2层1-13号 (汉庭电梯2楼),成都市,104.077755,30.658155,76,3,91.2,106.39999999999999,121.60000000000001
HOTEL_148,酒店,清居酒店(成都春熙路太古里店),庆云西街13号 (红星国际5号楼),成都市,104.086173,30.662044,56,3,67.2,78.39999999999999,89.60000000000001
HOTEL_149,酒店,来住星辰酒店(成都环球中心世纪城新会展店),南华路1616号1栋2单元1楼,成都市,104.037175,30.553304,63,3,75.6,88.19999999999999,100.80000000000001
HOTEL_150,酒店,成都来福士·上呈观云公寓,人民南路四段三号成都来福士广场T5观云一层,成都市,104.067766,30.630939,100,3,120.0,140.0,160.0
HOTEL_151,酒店,花悦尚居酒店(成都西站青羊万达店),培风横街249号附301号,成都市,103.978639,30.665644,30,3,36.0,42.0,48.0
HOTEL_152,酒店,成都太古里春熙路怡程酒店,暑袜北三街20号1层8号,成都市,104.074676,30.659234,215,4,258.0,301.0,344.0
HOTEL_153,酒店,西姆怡特成都宽窄巷子省医院酒店,一环路西三段5号附1-20号1幢1单元25层,成都市,104.04021,30.669038,70,4,84.0,98.0,112.0
HOTEL_154,酒店,尚品·云栖酒店(成都双流机场航站楼店),西航港大道中二段666号15栋,成都市,103.965196,30.577428,55,2,66.0,77.0,88.0
HOTEL_156,酒店,U趣艾栖酒店(成都双流国际机场店),学府西路南一街31-39号,成都市,103.981368,30.572769,60,3,72.0,84.0,96.0
HOTEL_157,酒店,luxe·东悦俪套房酒店(成都天府广场店),顺城大街289号1栋3单元富力U-one大厅,成都市,104.069688,30.66496,40,3,48.0,56.0,64.0
HOTEL_158,酒店,成都春熙太古里漫心酒店,走马街53号,成都市,104.075483,30.653062,80,4,96.0,112.0,128.0
HOTEL_159,酒店,微澜温泉酒店(成都东站牛市口地铁站店),牛市口泰合国际财富中心6栋1单元7层,成都市,104.107501,30.634993,33,3,39.6,46.199999999999996,52.800000000000004
HOTEL_160,酒店,成都熊猫假日酒店(建设路东郊记忆店),二仙桥西路398号,成都市,104.120124,30.687464,70,4,84.0,98.0,112.0
HOTEL_162,酒店,成都锦投·古迹酒店(春熙路太古里店),暑袜北一街145、157号,成都市,104.078401,30.662887,43,4,51.6,60.199999999999996,68.8
HOTEL_164,酒店,嘉立精选酒店(成都春熙路太古里店),三圣街34号,成都市,104.080101,30.649832,47,3,56.4,65.8,75.2
HOTEL_166,酒店,慢方·庭院｜MannSquareCourtyard酒店(成都武侯红牌楼地铁站店),长城西一路115号,成都市,104.030345,30.632982,47,3,56.4,65.8,75.2
HOTEL_167,酒店,汉室酒店(成都锦里武侯祠店),武侯祠大街180号附28号,成都市,104.052356,30.645334,86,3,103.2,120.39999999999999,137.6
HOTEL_169,酒店,吾往天际酒店(成都梁家巷地铁站店),一环路北四段108号,成都市,104.087334,30.679927,51,3,61.199999999999996,71.39999999999999,81.60000000000001
HOTEL_170,酒店,欢宅·国风酒店(宽窄巷子店),金仙桥路12号1栋,成都市,104.053978,30.677665,71,4,85.2,99.39999999999999,113.60000000000001
HOTEL_171,酒店,SFEEL设计师酒店(成都万象城万年场地铁站店),双成五路66号附2号1楼,成都市,104.12242,30.645877,39,3,46.8,54.599999999999994,62.400000000000006
HOTEL_172,酒店,月牙间白酒店(成都宽窄巷子文殊院地铁站店),同心路171号,成都市,104.056823,30.677143,58,3,69.6,81.19999999999999,92.80000000000001
HOTEL_173,酒店,SFEEL设计师酒店(成都东站双店路地铁站店),长融东三路155号1栋7层,成都市,104.14349,30.657543,47,3,56.4,65.8,75.2
HOTEL_174,酒店,成都火车南站桔子水晶酒店,盛和一路88号,成都市,104.062812,30.603441,188,4,225.6,263.2,300.8
HOTEL_175,酒店,AeroView天锦酒店(成都双流机场店),西航港大道中二段788号2栋1单元,成都市,103.963883,30.594131,147,4,176.4,205.79999999999998,235.20000000000002
HOTEL_178,酒店,成都华西医院省体育馆地铁站亚朵S酒店,一环路南三段13附6号,成都市,104.062875,30.63361,125,4,150.0,175.0,200.0
HOTEL_179,酒店,漫曲酒店(成都西站中坝地铁站店),光华北五路388号,成都市,103.957507,30.676831,60,3,72.0,84.0,96.0
HOTEL_180,酒店,艺龙安云酒店(成都火车东站净居寺地铁站店),净居寺路43号,成都市,104.100642,30.62544,44,3,52.8,61.599999999999994,70.4
HOTEL_181,酒店,FILY翡丽全套房服务公寓(天府三街世豪广场店),剑南大道世豪翡丽2-2号楼,成都市,104.045639,30.54707,30,3,36.0,42.0,48.0
HOTEL_182,酒店,HILL山丘设计师酒店(成都春熙路太古里店),龙王庙正街116号星城银座3层,成都市,104.07656,30.649453,33,3,39.6,46.199999999999996,52.800000000000004
HOTEL_183,酒店,斯维登精品公寓(成都牛市口地铁站店),锦东路595号润达丰广场1栋43号,成都市,104.106547,30.639393,80,3,96.0,112.0,128.0
