facility_id,facility_type,facility_category,facility_subtype,name,address,district,lon,lat,total_area_m2
SCHOOL_455,学校,学校,小学,芳草小学(玉林校区),四川省成都市武侯区沙子堰中巷29号,武侯区,104.053062,30.633113,2350.73845340309
SCHOOL_456,学校,学校,大学/高等院校,四川体育职业学院(华西坝校区),四川省成都市武侯区一环路南三段18号,武侯区,104.060589,30.634399,68410.3820238654
SCHOOL_459,学校,学校,小学,成都石室双楠实验学校(小学部),四川省成都市武侯区安居街2号,武侯区,104.028397,30.647279,21410.161785429
SCHOOL_463,学校,学校,大学/高等院校,成都职业技术学院(青羊校区),四川省成都市青羊区大石西路56号,青羊区,104.029399,30.654538,34581.6788508229
SCHOOL_464,学校,学校,小学,成都市武侯实验小学,四川省成都市武侯区少陵路16号,武侯区,104.025953,30.65101,5962.23390200087
SCHOOL_468,学校,学校,小学,成都市红牌楼小学,四川省成都市武侯区高升桥路15号,武侯区,104.034107,30.641155,9095.89522469544
SCHOOL_474,学校,学校,其他学校,成都考古中心,四川省成都市青羊区青华路15号,青羊区,104.028349,30.664579,7239.46849261014
SCHOOL_475,学校,学校,大学/高等院校,四川省妇女干部学校,四川省成都市青羊区青华路59号,青羊区,104.020008,30.664218,5412.34381965276
SCHOOL_476,学校,学校,其他学校,中国成都市文化艺术学校,四川省成都市青羊区二环路西一段122号,青羊区,104.02006,30.66121,10366.5471463917
SCHOOL_478,学校,学校,小学,成都市实验小学(青华分校),四川省成都市青羊区青华北一街9号,青羊区,104.023749,30.66685,5706.1006963605
SCHOOL_482,学校,学校,大学/高等院校,四川电力职业技术学院(罗家碾校区),四川省成都市青羊区清江东路39号4栋,青羊区,104.028044,30.67057,13468.069063876
SCHOOL_483,学校,学校,中学,成都市树德实验中学西区,四川省成都市青羊区草堂北支路5号,青羊区,104.025201,30.667562,14013.2715846119
SCHOOL_485,学校,学校,大学/高等院校,四川水利职业技术学院(清江校区),四川省成都市青羊区清江东路35号,青羊区,104.029368,30.670572,4949.68489065471
SCHOOL_487,学校,学校,小学,成都市浣花小学,四川省成都市青羊区石人南路4号,青羊区,104.026278,30.673074,3712.40322434621
SCHOOL_488,学校,学校,其他学校,考古队科研楼,四川省成都市青羊区大庆路105号1单元,青羊区,104.027876,30.674952,2349.066649672
SCHOOL_491,学校,学校,小学,成都市草堂小学,四川省成都市青羊区浣花南路180号,青羊区,104.032283,30.661323,11846.7888561233
SCHOOL_492,学校,学校,其他学校,成都市少年儿童业余体育学校,四川省成都市青羊区草堂东路150号,青羊区,104.032953,30.660734,4954.08778043532
SCHOOL_493,学校,学校,其他学校,水电校教学楼,四川省成都市青羊区青华路8号,青羊区,104.032479,30.665519,3106.63619601821
SCHOOL_496,学校,学校,大学/高等院校,四川电力职业技术学院,四川省成都市青羊区青华路8号,青羊区,104.032658,30.666357,58966.9398650908
SCHOOL_497,学校,学校,其他学校,四川省人民医院-护士学校(青羊校区),四川省成都市青羊区浣花北路18号,青羊区,104.034951,30.666885,2809.94757156408
SCHOOL_499,学校,学校,小学,成都市白果林小学校,四川省成都市金牛区中新路12号,金牛区,104.033242,30.673841,4392.30171125211
SCHOOL_501,学校,学校,大学/高等院校,四川开放大学,成都市金牛区一环路西三段3号,金牛区,104.036441,30.670743,40210.0967072535
SCHOOL_502,学校,学校,大学/高等院校,成都师范学院(百寿路),四川省成都市金牛区百寿路4号,金牛区,104.035875,30.67225,7704.70133942102
SCHOOL_504,学校,学校,大学/高等院校,西南民族大学-图书馆,四川省成都市武侯区一环路南四段16号,武侯区,104.044952,30.640948,3166.72623373029
SCHOOL_505,学校,学校,小学,龙江路小学分校,四川省成都市武侯区武侯祠大街250号,武侯区,104.043588,30.644506,5561.5490867997
SCHOOL_506,学校,学校,其他学校,四川省商务学校(武侯校区),四川省成都市武侯区武侯祠横街16号,武侯区,104.043634,30.642653,9391.19318246572
SCHOOL_507,学校,学校,大学/高等院校,星空商学院,四川省成都市武侯区武侯祠大街243号,武侯区,104.043679,30.646684,4516.14731842793
SCHOOL_508,学校,学校,大学/高等院校,西南民族大学(武侯校区),四川省成都市武侯区一环路南四段16号,武侯区,104.04704,30.64159,230802.051946617
SCHOOL_509,学校,学校,大学/高等院校,西南民族大学-行政大楼,成都市武侯区浆洗街街道一环路南四段16号,武侯区,104.04988,30.642335,3439.03915793193
SCHOOL_511,学校,学校,大学/高等院校,成都体育学院(武侯校区),四川省成都市武侯区一环路西一段19号,武侯区,104.041595,30.649403,221080.467783313
SCHOOL_513,学校,学校,大学/高等院校,成都体育学院-图书馆,四川省成都市武侯区体院路成都体育学院4栋3单元,武侯区,104.04252,30.648892,2201.46509939516
SCHOOL_515,学校,学校,中学,成都西北中学,四川省成都市武侯区建国巷1号,武侯区,104.051612,30.64581,27629.785807686
SCHOOL_518,学校,学校,小学,成都市武侯计算机实验小学(梧桐园),四川省成都市武侯区金陵横路80号,武侯区,104.060749,30.638559,4579.62772687812
SCHOOL_519,学校,学校,大学/高等院校,四川大学(华西校区)-西区,四川省成都市武侯区人民南路三段16号,武侯区,104.061108,30.644226,77136.726694733
SCHOOL_520,学校,学校,其他学校,成都石室锦城外国语学校,四川省成都市武侯区小天竺街103号,武侯区,104.061367,30.646241,14133.6133351524
SCHOOL_521,学校,学校,大学/高等院校,四川大学-华西临床教学楼,四川成都市武侯区国学巷37号四川大学华西校区西区,武侯区,104.060225,30.643822,3504.70486762593
SCHOOL_526,学校,学校,其他学校,成都图书馆,成都市青羊区文翁路98号,青羊区,104.058235,30.655211,5733.69730399566
SCHOOL_527,学校,学校,小学,成都市彩虹小学,四川省成都市青羊区文翁路7号,青羊区,104.055169,30.653094,2073.0658364786
SCHOOL_528,学校,学校,小学,成都市锦里小学,四川省成都市武侯区武侯祠大街9号,武侯区,104.055157,30.648423,4721.77888629639
SCHOOL_529,学校,学校,小学,成都市弟维小学,四川省成都市武侯区黉门街25号,武侯区,104.059228,30.647542,3901.12814456404
SCHOOL_530,学校,学校,中学,石室联合中学,四川省成都市青羊区陕西街29号,青羊区,104.061714,30.656595,12623.8772248064
SCHOOL_532,学校,学校,中学,石室联合中学(蜀华分校),四川省成都市青羊区蜀华街43号,青羊区,104.050492,30.660902,12836.3988828048
SCHOOL_533,学校,学校,小学,成都市胜西小学,四川省成都市青羊区汪家拐街道横小南街11号,青羊区,104.051204,30.662626,6541.97965037718
SCHOOL_534,学校,学校,中学,成都市树德协进中学,四川省成都市青羊区西胜街18号,青羊区,104.049903,30.665516,12832.1129490981
SCHOOL_540,学校,学校,中学,四川省成都市财贸职业高级中学校,四川省成都市金牛区枣子巷26-号,金牛区,104.043701,30.668692,12025.2852378567
SCHOOL_542,学校,学校,大学/高等院校,成都中医药大学(十二桥校区),四川省成都市金牛区十二桥路37号,金牛区,104.041629,30.66894,65447.4193669166
SCHOOL_543,学校,学校,小学,成都市西安路小学校,四川省成都市金牛区西安北路一巷30号,金牛区,104.044646,30.672754,3619.58975392098
SCHOOL_547,学校,学校,小学,成都市少城小学,四川省成都市青羊区西胜街1号东区,青羊区,104.051646,30.664003,5527.40662932068
SCHOOL_548,学校,学校,其他学校,四川省图书馆,四川省成都市青羊区人民西路4号,青羊区,104.060935,30.661347,13663.6354362497
SCHOOL_549,学校,学校,小学,成都市回民小学,四川省成都市青羊区西华门街1号,青羊区,104.058926,30.661433,4648.48668046142
SCHOOL_550,学校,学校,中学,成都市树德实验中学(东区),四川省成都市青羊区人民西路107号,青羊区,104.06012,30.659852,7210.21774850268
SCHOOL_553,学校,学校,小学,成都市实验小学(人民中路校区),四川省成都市青羊区人民中路一段22号,青羊区,104.061893,30.66592,16010.9971156345
SCHOOL_554,学校,学校,小学,成都市泡桐树小学,四川省成都市青羊区支矶石街8号,青羊区,104.05267,30.666978,5982.62330706766
SCHOOL_555,学校,学校,小学,成都市泡桐树小学-北区,四川省成都市青羊区实业街14号,青羊区,104.052986,30.668223,2566.71129805066
SCHOOL_556,学校,学校,小学,少城组合小学校,四川省成都市青羊区黄瓦街53号,青羊区,104.054603,30.669218,2927.36739963711
SCHOOL_559,学校,学校,中学,成都市树德实验中学,四川省成都市青羊区东马棚街9号,青羊区,104.055707,30.671201,10889.5989927975
SCHOOL_562,学校,学校,其他学校,成都教科院,四川省成都市青羊区东马棚街1号,青羊区,104.057211,30.670616,6344.04990656393
SCHOOL_563,学校,学校,小学,成都市东城根街小学(A区),四川省成都市青羊区老东城根街9号,青羊区,104.058254,30.671528,5076.92987692067
SCHOOL_565,学校,学校,小学,成都市东坡小学,四川省成都市青羊区苏坡中路115号,青羊区,103.981542,30.675805,12375.7888802739
SCHOOL_566,学校,学校,小学,成都市草堂小学(西区分校),四川省成都市青羊区蜀清路89号,青羊区,103.985191,30.681815,10604.7669245284
SCHOOL_569,学校,学校,中学,成都市树德实验中学(清波校区),四川省成都市青羊区清百西一路63号,青羊区,103.981752,30.690765,19155.4319726156
SCHOOL_574,学校,学校,小学,金沙小学(清波分校),四川省成都市青羊区蜀鑫西一路36号,青羊区,103.987497,30.685758,10359.2274716654
SCHOOL_575,学校,学校,小学,成都市花园(国际)小学(清波校区),四川省成都市青羊区董家店路159号,青羊区,103.987912,30.690493,11739.9978496835
SCHOOL_576,学校,学校,大学/高等院校,清源社区学院,四川省成都市青羊区苏坡街道成都市花园(国际)小学(清波校区)西117米,青羊区,103.98667,30.690057,8056.54571140537
SCHOOL_581,学校,学校,小学,石室外语学校-附属小学,四川省成都市金牛区黄金路1377号,金牛区,103.980805,30.700411,12056.3232163784
SCHOOL_582,学校,学校,其他学校,成都石室外语学校,四川省成都市金牛区黄金路1389号,金牛区,103.980801,30.69895,83963.4388677906
SCHOOL_585,学校,学校,小学,成都市金科路小学校,四川省成都市金牛区金科苑东街69号,金牛区,103.984863,30.71015,13959.5883041164
SCHOOL_589,学校,学校,小学,成都市实验小学尚雅校区,成都市青羊区蜀西南一路成都市第六幼儿园百仁园区东北侧约50米,青羊区,103.994501,30.70166,12892.6778284169
SCHOOL_590,学校,学校,中学,成都市泡桐树中学(百仁分校),成都市青羊区百仁东路,青羊区,103.994932,30.702188,19532.2035509291
SCHOOL_592,学校,学校,其他学校,成都市蜀西实验学校,四川省成都市金牛区黄金东一路116号,金牛区,103.994122,30.709761,10829.2596934707
SCHOOL_596,学校,学校,小学,金沙小学(B区),四川省成都市青羊区金瓯路379号,青羊区,103.997781,30.682546,10374.6267844709
SCHOOL_599,学校,学校,小学,金沙小学-A区,四川省成都市青羊区金阳路90号,青羊区,104.006926,30.681195,12742.146383087
SCHOOL_601,学校,学校,中学,石室联合中学(金沙分校),四川省成都市青羊区蜀辉路239号,青羊区,103.998821,30.687725,23902.8130889621
SCHOOL_602,学校,学校,小学,金沙小学-D区,四川省成都市青羊区蜀辉路249号,青羊区,104.000689,30.691194,19258.5686814096
SCHOOL_608,学校,学校,大学/高等院校,四川师范大学实验外国语学校(西校区),四川省成都市青羊区锦西路66号,青羊区,104.011081,30.679103,32787.9903342889
SCHOOL_609,学校,学校,小学,川师大实外(小学部),四川省成都市青羊区锦屏路8号,青羊区,104.014021,30.680223,15204.5514557802
SCHOOL_612,学校,学校,小学,成都市蜀汉外国语实验小学,四川省成都市金牛区同悦路2号,金牛区,104.006571,30.697338,7468.26795208097
SCHOOL_613,学校,学校,小学,成都市营门口小学校,四川省成都市金牛区同兴路5号,金牛区,104.018489,30.688695,5669.84694755629
SCHOOL_617,学校,学校,小学,特教小学,四川成都市金牛区黄忠横街3号,金牛区,104.010273,30.691865,8165.27947458365
SCHOOL_618,学校,学校,其他学校,成都赢星高考培训学校,四川省成都市青羊区龙嘴路234号,青羊区,104.003517,30.699846,3332.30300548303
SCHOOL_619,学校,学校,中学,成都市泡桐树中学,四川省成都市青羊区同怡横街298号,青羊区,104.0027,30.696357,32189.4890988466
SCHOOL_620,学校,学校,小学,金沙小学(C区),成都市青羊区同怡横街泡桐树中学南边,青羊区,104.002973,30.695264,16646.4124515557
SCHOOL_623,学校,学校,小学,成都市迎宾路小学校,四川省成都市金牛区蜀跃西路20号,金牛区,104.002894,30.709244,10561.7150266344
SCHOOL_631,学校,学校,小学,成都市茶店子小学(南区),四川省成都市金牛区育德路39号,金牛区,104.013395,30.698959,17346.5903180961
SCHOOL_632,学校,学校,其他学校,天籁艺术学校(四川集训中心),四川省成都市金牛区蜀光路8号,金牛区,104.013262,30.695961,12855.3292642788
SCHOOL_635,学校,学校,小学,成都市茶店子小学校(北区),四川省成都市金牛区育仁西路69号,金牛区,104.013628,30.702648,14697.2054506697
SCHOOL_636,学校,学校,其他学校,成外附小西宸学校,四川省成都市金牛区育仁西路18号38号楼,金牛区,104.017826,30.706472,8897.12263819389
SCHOOL_638,学校,学校,小学,成都市友谊小学校,四川省成都市金牛区西三环路五段469号,金牛区,104.015485,30.709071,9383.0796505579
SCHOOL_639,学校,学校,其他学校,成都红土地画室(总校),四川省成都市金牛区西三环路五段186号,金牛区,104.00869,30.705041,7041.24863890933
